Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Response To Endoplasmic Reticulum Stress (GO:0034976)	10/114	7.053993962539372E-10	6.129920753446714E-7	0	0	19.025	400.8996885502066	PPP1R15A;HSPA5;SEL1L;SYVN1;DNAJB9;TRIB3;HYOU1;PDIA6;PDIA4;HSP90B1
Ubiquitin-Dependent ERAD Pathway (GO:0030433)	7/73	1.516991425253922E-7	6.59132774272829E-5	0	0	20.41306266548985	320.5129804017736	HSPA5;DERL3;SEL1L;SYVN1;DNAJB9;CALR;HSP90B1
L-amino Acid Transport (GO:0015807)	5/26	2.7547417368968246E-7	7.97956856454447E-5	0	0	45.054421768707485	680.5367664330117	SLC6A17;SLC1A4;SLC7A11;SLC7A1;SLC36A4
ERAD Pathway (GO:0036503)	7/89	5.968822896233782E-7	1.296726774206789E-4	0	0	16.41676533270187	235.27762610535277	HSPA5;DERL3;SEL1L;SYVN1;DNAJB9;CALR;HSP90B1
COPII-coated Vesicle Cargo Loading (GO:0090110)	4/14	8.309684549109672E-7	1.444223174635261E-4	0	0	75.01886792452831	1050.3147139009948	SEC23A;SEC24A;SEC24D;SEC31A
Amino Acid Transport (GO:0006865)	5/46	5.259785577028308E-6	7.617922777396E-4	0	0	23.0534262485482	280.2240853339772	SLC6A17;SLC1A4;SLC7A11;SLC7A1;SLC36A4
Vesicle Cargo Loading (GO:0035459)	4/25	1.002289558167692E-5	0.001244270894353892	0	0	35.703504043126685	410.9701290751417	SEC23A;SEC24A;SEC24D;SEC31A
L-serine Metabolic Process (GO:0006563)	3/10	1.8886798980999276E-5	0.0020515785393110464	0	0	79.63818424566088	866.2283006336379	PSAT1;SHMT2;PSPH
Positive Regulation Of Cell Cycle (GO:0045787)	5/65	2.9171433132507615E-5	0.002816663932461013	0	0	15.738095238095237	164.34223681671054	CCND2;EIF4EBP1;ASNS;NUPR1;CALR
Alanine Transport (GO:0032328)	3/12	3.434912233589225E-5	0.0029778878034963123	0	0	61.93457943925234	636.6214599635133	SLC6A17;SLC1A4;SLC36A4
Neutral Amino Acid Transport (GO:0015804)	4/35	3.976643476547982E-5	0.0029778878034963123	0	0	24.174071819841753	244.9434768906012	SLC6A17;SLC1A4;SLC7A11;SLC36A4
Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900102)	3/13	4.447513830223246E-5	0.0029778878034963123	0	0	55.73831775700935	558.530284119608	PPP1R15A;HSPA5;DNAJB9
COPII-coated Vesicle Budding (GO:0090114)	4/36	4.454837910869052E-5	0.0029778878034963123	0	0	23.41745283018868	234.61793281498498	SEC23A;SEC24A;SEC24D;SEC31A
L-alpha-amino Acid Transmembrane Transport (GO:1902475)	4/40	6.795662288536862E-5	0.0040663869721325185	0	0	20.81132075471698	199.71877308395503	SLC1A4;SLC7A11;SLC7A1;SLC36A4
Endoplasmic Reticulum To Cytosol Transport (GO:1903513)	3/15	7.019079928882369E-5	0.0040663869721325185	0	0	46.44392523364486	444.2033238566948	SEL1L;SYVN1;HSP90B1
Retrograde Protein Transport, ER To Cytosol (GO:0030970)	3/17	1.0406304392893897E-4	0.005651924073390498	0	0	39.80507343124165	365.03296927462304	SEL1L;SYVN1;HSP90B1
Dicarboxylic Acid Metabolic Process (GO:0043648)	4/50	1.6416405485274464E-4	0.008391680215707947	0	0	16.278917145200985	141.86497243916284	MTHFD2;SHMT2;GPT2;ALDH18A1
Negative Regulation Of Programmed Cell Death (GO:0043069)	9/381	2.569422971137476E-4	0.012404603121769258	0	0	4.675343340785692	38.649469214326345	HSPA9;DNAJC3;CCND2;HSPA5;WNT5A;ASNS;NUPR1;SLC7A11;HSP90B1
Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469)	2/5	2.9653074838543466E-4	0.0130862463912162	0	0	122.75925925925925	997.2176121519977	PTPRN;NUPR1
Protein Exit From Endoplasmic Reticulum (GO:0032527)	3/24	3.0117943362983196E-4	0.0130862463912162	0	0	26.527369826435248	215.0787243617147	SEL1L;SYVN1;HSP90B1
Chaperone Cofactor-Dependent Protein Refolding (GO:0051085)	3/27	4.300603949511636E-4	0.017223157915045702	0	0	23.207943925233646	179.89834782467048	HSPA9;SDF2L1;HSPA5
Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	5/115	4.360293143049545E-4	0.017223157915045702	0	0	8.562770562770563	66.25701532750178	SEC24A;HYOU1;KDELR3;SEC24D;SEC31A
Response To Reactive Oxygen Species (GO:0000302)	4/66	4.802269449233632E-4	0.01814422674514794	0	0	12.068167985392575	92.21590990511208	PTPRN;TPM1;HMOX1;SQSTM1
Modified Amino Acid Transport (GO:0072337)	3/29	5.329665241097599E-4	0.019297829560474225	0	0	21.42056074766355	161.44787898874262	SLC1A4;SLC7A11;SLC7A1
L-alanine Transport (GO:0015808)	2/7	6.182484160016636E-4	0.020663764365594063	0	0	73.64814814814815	544.1581961040968	SLC1A4;SLC36A4
Sulfur Amino Acid Transport (GO:0000101)	2/7	6.182484160016636E-4	0.020663764365594063	0	0	73.64814814814815	544.1581961040968	SLC1A4;SLC7A11
