module	Compound	kME_module
black	Srpr	0.98
black	Rpn1	0.97
black	Stt3a	0.97
black	Clptm1l	0.97
black	Ssr3	0.97
black	Cyb5r1	0.96
black	Wfs1	0.96
black	Tmem97	0.96
black	Ppapdc1b	0.96
black	Canx	0.96
black	Sec61a1	0.95
black	Smim14	0.95
black	Serp1	0.95
black	Spcs2	0.95
black	Hmox1	0.94
black	Ctage5	0.94
black	Edem2	0.94
black	Vmp1	0.94
black	Prkcsh	0.94
black	Txndc5	0.94
black	Slc7a3	0.94
black	Uggt1	0.94
black	Lonp1	0.94
black	Aldh1l2	0.94
black	Stt3b	0.94
black	Lman1	0.94
black	Slc39a9	0.93
black	Spcs3	0.93
black	Ssr2	0.93
black	Impdh1	0.93
black	Ostc	0.93
black	Vipr2	0.93
black	Slc24a3	0.93
black	Cpox	0.93
black	Srprb	0.93
black	Lman2	0.93
black	Vcp	0.93
black	Edem3	0.93
black	Calr	0.93
black	Eif3c	0.93
black	Copa	0.92
black	Mcfd2	0.92
black	Hdlbp	0.92
black	Slc33a1	0.92
black	Nbas	0.92
black	Gns	0.92
black	Slc35b1	0.92
black	Serinc1	0.92
black	Saraf	0.92
black	Sqstm1	0.92
black	Erlin1	0.92
black	Hspa13	0.91
black	Rrbp1	0.91
black	Tram1	0.91
black	Yipf2	0.91
black	Snd1	0.91
black	Tmed9	0.91
black	Dhrs7	0.91
black	Ssr1	0.91
black	Xpot	0.91
black	Scpep1	0.91
black	Pabpc4	0.91
black	Ccdc47	0.91
black	Slc35f5	0.91
black	Smap1	0.91
black	H13	0.91
black	Rer1	0.91
black	BC003331	0.90
black	Rpl10	0.90
black	Mettl9	0.90
black	Gorasp2	0.90
black	Rpl4	0.90
black	Srp72	0.90
black	Rexo2	0.90
black	Lrrc59	0.90
black	Erp44	0.90
black	Bet1	0.90
black	Derl1	0.90
black	Atf5	0.90
black	Tapbpl	0.90
black	Fam129a	0.90
black	Dpp3	0.90
black	Pdia5	0.90
black	Psmd11	0.90
black	Cog6	0.90
black	Pmm1	0.90
black	Uba5	0.90
black	Dnaja3	0.89
black	Gng5	0.89
black	Alg11	0.89
black	Nfu1	0.89
black	Lgi2	0.89
black	Ufm1	0.89
black	Alg2	0.89
black	Slc39a7	0.89
black	Tvp23b	0.89
black	Fam134b	0.89
black	Hid1	0.89
black	Arhgef2	0.89
black	Elovl7	0.89
black	Fkbp11	0.89
black	Tmem56	0.89
black	Sec24d	0.89
black	Srm	0.89
black	Kars	0.89
black	Armcx2	0.89
black	Slc25a44	0.89
black	Lhfpl2	0.89
black	Slc30a7	0.89
black	Atf6	0.89
black	Nup93	0.89
black	Nucb2	0.89
black	Bhlha15	0.89
black	Ufl1	0.88
black	Tmem248	0.88
black	Mybbp1a	0.88
black	Magt1	0.88
black	Vimp	0.88
black	Mia3	0.88
black	Nupr1	0.88
black	Sel1l	0.88
black	Fndc3b	0.88
black	Hyou1	0.88
black	Scly	0.88
black	Acot2	0.88
black	Uso1	0.88
black	Chrna7	0.88
black	Tmem214	0.88
black	Mfsd11	0.88
black	3110043O21Rik	0.88
black	Dlgap1	0.88
black	Copg1	0.88
black	Sec11c	0.88
black	AU040320	0.87
black	Btf3	0.87
black	Uqcrq	0.87
black	Pycr1	0.87
black	Gpr108	0.87
