genes	logFC.time1h.treatSW	logFC.time2h.treatSW	logFC.time6h.treatSW	logFC.time24h.treatSW	logCPM	F	PValue	FDR
Fosl2	1.72489137608264	2.02149149494545	0.12737547089767	-0.527566144105871	7.32855247323143	73.6308451933796	4.43982490396169e-15	8.57907366192517e-11
Fosb	3.59755980142924	3.25633563599159	1.18997059414031	-0.371908959322053	5.23159274599241	59.1428556518202	8.32685819111104e-14	5.62400539537165e-10
Aldh1l2	-0.239336042007684	0.622294800305354	1.8681605930158	1.59899746649112	6.90561100735705	58.9307777662852	8.73157179843449e-14	5.62400539537165e-10
Herpud1	0.435513799447695	2.10908107545821	1.82649112733549	0.80224196750348	7.1772012661871	57.1130250304848	1.31970678850692e-13	6.3751735685798e-10
Atf3	2.83822922689009	2.52202976526538	0.915072017017214	-0.205501765884171	3.95236666846764	53.057474159607	3.46270973194667e-13	1.33819880300811e-09
Chac1	1.10806632853683	3.5366425747937	2.45033422666236	0.891243478307322	5.28015108653136	51.6471245089713	4.91637269565408e-13	1.41411303565965e-09
Creld2	0.0146304832348348	1.09824191595038	2.10033275462109	1.00473537425518	6.56803456228178	51.4837774150663	5.12280248906358e-13	1.41411303565965e-09
Nr4a3	2.70245295649613	3.28899607196949	0.201440349923991	-1.62049562114765	5.98814070573147	49.0339412003319	9.62598141810636e-13	2.09021586990892e-09
Asns	0.0368060224909131	0.764387971215373	1.68473741971674	0.53356612361094	7.65799397944189	48.9909262421691	9.73551872337642e-13	2.09021586990892e-09
Pdia4	-0.0240190989279322	0.751607442291366	1.91841239847036	1.00582718836675	8.53954465058702	44.4646329947198	3.36734155895676e-12	6.50671409437215e-09
Eif4ebp1	-0.304602878257281	1.50915351566464	2.60601472008239	1.28206825717753	4.01403238447556	43.7448167645458	4.14234412811713e-12	7.27659232614612e-09
Dusp4	0.815461356380746	1.84365412333181	1.46781174636501	-0.181879294841065	6.38687683622177	42.8478908045354	5.38396065468742e-12	8.40949226484531e-09
Sel1l	-0.109663500116825	0.564987402967877	1.31691923356756	0.494456070674811	8.2179099295624	42.4819414465049	5.99972970564616e-12	8.40949226484531e-09
Shmt2	-0.0567811056149067	0.787041609240056	1.78907719866074	0.497244324046719	6.36039007924637	42.4300866614246	6.09288887376879e-12	8.40949226484531e-09
Kcnh1	-0.0205153375419472	0.25309053742527	1.28512532331726	0.362941862428613	5.80469015518591	41.7532898217245	7.46095972176613e-12	9.46067764338675e-09
Junb	2.57482184261368	1.53425454367764	-0.11022413141459	0.0318384750468925	5.26358443544672	41.5917547644372	7.83371331026176e-12	9.46067764338675e-09
Hspa5	0.0885543911352875	1.05008462188103	1.81395700791408	0.709487686012576	10.9810163570657	38.7832310439566	1.87717031271182e-11	2.13368011485473e-08
Hyou1	-0.0319538851333129	0.503083523123885	1.44668804525751	0.910749611105333	10.2869210139339	38.4671668166631	2.07792304657062e-11	2.23065039049356e-08
Btg2	1.6832218401544	0.315379801189868	-0.36476236088882	-0.081731008178323	6.41769379065312	37.925283037127	2.47732145747745e-11	2.51943592225456e-08
Nars	0.0930702190300692	0.691688338397017	1.34841008789511	0.365226977009798	7.26324449707261	37.0956398800201	3.25565075190874e-11	3.14544697395663e-08
Nfil3	1.32037485975538	2.13995905474956	1.33813363633669	-0.457943092903049	4.70122119866096	36.9315921085039	3.43840630453228e-11	3.16382500107034e-08
Psat1	-0.0714317155286885	0.738513094056373	1.56795614972817	0.452983469084297	7.68635820687085	35.9458951170143	4.79423265446331e-11	4.21086170828157e-08
Eprs	0.0621612949996221	0.6952904637489	1.3018708948839	0.309238413112893	8.41956982997176	35.7748005940121	5.08282391242807e-11	4.27023506347163e-08
Sdf2l1	-0.0358036602430319	0.918370391646293	1.68878699401262	1.24239399685771	6.58629844695257	35.621907712268	5.35641351597502e-11	4.31258243204939e-08
Ppargc1a	0.272302458384477	1.50831563321425	0.784610517226071	-0.130196872967641	5.52814540832391	35.3334342168823	5.91631372444476e-11	4.57283720389785e-08
Trib3	0.830865494935774	2.15726088837991	2.47174633672355	1.15657121161994	4.92271110561299	35.0618618522858	6.50071185414217e-11	4.83127904452266e-08
Aars	-0.0115106426231894	0.563568772739405	1.10912567447113	0.327184735661734	8.04722667545354	34.9490521521691	6.76129907508063e-11	4.83883637139937e-08
Nr4a1	2.12645475958785	2.84840852995519	0.223613821201439	-1.69968285364832	8.25305677542637	34.5992868514409	7.64254882311668e-11	5.27417753246727e-08
Xpot	-0.053842203211071	0.418980665322482	1.2787232328314	0.719799589806192	7.22284808818566	34.1586797298755	8.93074997590414e-11	5.95065109601365e-08
Egr1	2.24005475838622	0.956136222849241	-0.906732539847429	-1.27057249591166	7.76179275880089	33.9497357466643	9.62088453093062e-11	6.19681172637241e-08
Homer1	0.366642859458572	1.3432236235154	-0.0515342721183508	-0.196492186463946	5.6906926466347	33.1598477716437	1.27905303742488e-10	7.97262640069707e-08
Atf4	0.712524451152189	1.67416147194917	1.42006059445577	0.498347842446127	8.01444453198978	32.3769447400113	1.70537860038156e-10	1.02978220922415e-07
Sp8	0.0628046653031335	0.879337613665521	1.1461146358104	-0.367235389176474	6.41482831203879	31.848241806202	2.07758806604689e-10	1.15456280358065e-07
Mthfd2	0.0524638123362325	0.940902911049784	1.20138358469263	0.198374403629307	6.29993745495772	31.8372197264145	2.08621413336468e-10	1.15456280358065e-07
Hsp90b1	-0.0126478359641464	0.533266879798981	1.25721451689868	0.808900535490742	11.0367814261813	31.7618445415666	2.14623741330509e-10	1.15456280358065e-07
Gucy2c	-0.134360502238229	0.135397804594365	0.964384900746507	-0.225388495771685	7.46722296437288	31.7559292233117	2.15102525119823e-10	1.15456280358065e-07
Dnajb9	0.179503034467021	1.17965392821424	1.514192154808	0.615889337577187	8.29045702082581	30.4237387016661	3.58362148734072e-10	1.87152210810499e-07
Dnajb11	-0.0894394706994396	0.510982196849482	1.14460442186688	0.52852591749516	7.48219798597976	29.9999911626999	4.23094979191341e-10	2.1261138599451e-07
Ifrd1	0.496147727999624	1.39535378054909	0.781105917662801	0.0170185690096325	6.53972784472202	29.9641357652184	4.29117841628416e-10	2.1261138599451e-07
Ppp1r15a	0.765156760638058	1.49234996030386	1.66330254860181	0.249482985339784	4.78591608993623	29.6531505239638	4.85358260371345e-10	2.34241711835958e-07
Manf	-0.0182915839349139	0.821692447832419	1.57781907174706	0.839568873941817	8.81854438688213	29.5934898310283	4.97019623519862e-10	2.34241711835958e-07
Slc7a1	0.0882735700731819	1.0138870563459	1.38233579585579	0.329812839564529	7.42556677682904	29.0548343697495	6.16895802220778e-10	2.83816133007431e-07
Sgms2	-0.0937171127910774	0.750489275975695	1.04181637467778	0.156927107460316	6.8864749840801	28.9373780191107	6.46924483459096e-10	2.90709809160002e-07
Hspa9	-0.0630942405674842	0.427836697894833	1.16477411977857	0.494523262296256	8.56642372066555	28.7720708958435	6.91855451910768e-10	3.03834611301631e-07
Sars	-0.0225344330059204	0.630681969935791	1.09679173982426	0.254717847261041	7.58387103123829	28.4847740128934	7.7805173651032e-10	3.34095415657532e-07
Phf10	-0.0445897263256823	0.59952403221236	1.24696403681411	0.431524770897129	6.09927526955628	28.2026084915898	8.73937592422233e-10	3.67110784747278e-07
Klf4	1.72618089984863	1.37989379752797	0.127699222590306	-0.163112351124435	4.93346940228619	27.8337808399638	1.01869953390419e-09	4.18815555183631e-07
Slc1a4	-0.0589375130885738	0.877904160725431	1.19871955273741	0.380910742625857	5.21369312569324	27.6491355284392	1.10059276460642e-09	4.43057374801874e-07
Nr4a2	2.04803022020199	2.07775625286861	-0.34569268251095	-1.30702053388567	6.44084712950654	27.3966497160127	1.22412435569588e-09	4.82729692349216e-07
Nedd9	0.690798645883346	1.32893230359894	0.165495891201292	-0.0827297937277565	5.84431501132946	26.9769518348449	1.46335188443986e-09	5.6552696926063e-07
Derl3	0.212079896912126	1.60114909651466	2.73574943901318	1.50805982110371	4.65440111392952	26.5779002563634	1.73747751255456e-09	6.58299568139053e-07
Iars	-0.0459326784591817	0.768738685700214	1.31205026895672	0.319428629468707	7.3075328882644	26.3609655213948	1.9090469413344e-09	7.07799742478879e-07
Dnajc3	-0.142455445402263	0.454083334895123	1.16443744025675	0.560137039487983	8.1635026722604	26.3224117424095	1.94138520681988e-09	7.07799742478879e-07
Dusp1	1.66995388187818	0.590908875574658	0.0314131339759568	-0.545919320571928	5.83087452205499	26.2308426533069	2.02055630767344e-09	7.23022398762479e-07
Gars	-0.0279082560876516	0.468033375353961	0.997772011054414	0.0365727525308332	7.8660435547751	25.9225172245402	2.31346183255483e-09	8.12782236190127e-07
Fkbp11	0.417685978038626	-0.322580908133099	1.74893167726424	2.19948367439818	3.05970100242767	25.7271486630697	2.52226102343418e-09	8.70315174211047e-07
