genes	logFC.time1h.treatTg	logFC.time2h.treatTg	logFC.time6h.treatTg	logFC.time24h.treatTg	logCPM	F	PValue	FDR
Ppp1r15a	0.444020486351887	1.21234250095808	2.54367172992544	3.65789656447699	5.74723727454595	153.130162072601	2.17017197543223e-21	4.5951221407802e-17
Abcc4	0.171866519776759	0.17602861216768	-0.164847067311011	2.67508654890645	5.51408180729719	142.61350020255	6.86030180922877e-21	7.2630015254305e-17
Lcp2	-0.179908227664094	-0.516885243094037	-1.76273617873933	-3.76608705155142	4.97702604117435	137.763982490665	1.21419221745615e-20	8.56976867080548e-17
Npy	-0.0136949600896572	-0.206250386867302	-1.05613879136774	-3.14070403638466	8.62210648817173	131.131372810386	2.64774105053605e-20	1.40158172510126e-16
Aldh1l2	0.0175049634374022	0.290917224881108	2.05501791156136	2.8971288629332	7.33658954359423	121.685360294145	8.7772253013973e-20	2.94662899799189e-16
Ttr	0.0899745288428876	-0.131344198449093	-1.22582226402934	-2.33853847744203	8.14694488329525	121.123509537278	9.44892869550264e-20	2.94662899799189e-16
Trib3	0.527218899053891	1.94496841695	3.61897061042183	4.32891413206613	6.08480004884994	120.040625410129	1.09437326995021e-19	2.94662899799189e-16
Cyb5r1	-0.0525846966396195	-0.0997314179338786	1.32401076065916	2.67572901254884	5.9677487508059	119.892751143495	1.11330083989492e-19	2.94662899799189e-16
Hmox1	0.210005472356859	0.0482146931410759	1.07538788896721	2.70046622546827	5.4902314455448	118.549022457988	1.33364552609159e-19	3.13762337438481e-16
Slc1a4	0.258503535528375	0.775894171240248	2.49288761574099	2.26325117131185	5.87035930646042	115.87419103266	1.91785246013063e-19	4.0608607990806e-16
Lhfpl2	0.434694908549658	0.22359552061269	1.52015140392513	4.07588751299855	4.89632794727742	112.898332653261	2.92637066330679e-19	5.63299749316891e-16
Shmt2	0.150495496191703	0.58191640394311	2.42967043962484	2.10694507276237	6.81829162772349	110.631785134146	4.00239996127446e-19	7.06223473166879e-16
Atf6	0.00975411214292617	0.0327331738236619	1.18768406180478	1.85797380576169	7.9429318732034	107.236385335223	6.55863078619341e-19	1.06824960205276e-15
Chac1	0.815569291755972	3.3214063123225	3.9223149436469	3.42287388829752	5.95151654440638	106.199693519117	7.67257721274043e-19	1.16042249930404e-15
Naaa	-0.0930993808598845	-0.0792928729749658	0.516978870826104	2.8448124522493	4.95719173392571	104.65481553634	9.67710102494209e-19	1.36601958068083e-15
Fam129a	0.151939302916468	-0.242252724759679	1.91780452017256	2.98605888845263	5.10153678715612	96.9733406064545	3.21649765463547e-18	4.25663258370321e-15
Tcea1	-0.067746748948692	-0.0423147201246802	0.893232399171151	1.6937401059946	7.46719189527425	95.8875157328317	3.82581626922085e-18	4.76516668732248e-15
Arhgef2	0.0288948184370444	0.0984312938109539	1.16918090692603	2.5801799283457	6.76599313820089	92.7970256161445	6.39433065166708e-18	7.52186428991104e-15
Hspa9	-0.0617387395591673	0.148178568267944	1.46601032466373	1.95110258828562	8.88698867702665	91.7192943377068	7.67300257198494e-18	8.55095560311627e-15
Sesn2	0.161074265558192	1.33252811211647	2.150804145609	2.36798158972705	6.53986847157717	89.3765252068103	1.14969224387043e-17	1.21717917858562e-14
Sqstm1	0.0611995714749534	0.149961522962115	1.04991700223028	2.02819478286462	9.17668100395724	85.7348095633327	2.19550355629259e-17	2.2136948714733e-14
Gpd2	-0.0223624094342709	-0.0849650949748504	-0.837241617487865	-1.98898585726326	8.68396123764258	84.3579229059566	2.82263348320857e-17	2.71665642606629e-14
Nars	-0.0517886125489901	0.540897364185642	1.88722530450921	2.1041400195196	7.66458380063765	81.7481964747969	4.59170894281101e-17	4.22716718065567e-14
Eif4ebp1	0.00872323422300298	1.1480019610529	3.07175547538945	2.76617555033711	4.46014377277172	81.2388427128249	5.10152304927443e-17	4.50081871022236e-14
Gcg	-0.00209928652179929	-0.168293935874927	-0.757228488710996	-2.16621623802177	7.96018303215413	80.162158572886	6.21407506509958e-17	5.10819179251095e-14
Ptprg	0.0441338195948819	-0.201564950871385	0.177193727456511	2.13742936675974	6.49505927522098	79.9764061680913	6.44274486487076e-17	5.10819179251095e-14
Asns	0.0745763277553902	0.484240810437294	1.82869494838559	1.55648286304098	7.84004391751865	79.9176994313629	6.51370446763935e-17	5.10819179251095e-14
Rab39b	0.0529906991170466	0.414879555287133	1.48854359571619	1.97415957646188	6.62888622376071	79.5306913826769	7.0221452849412e-17	5.31024658083375e-14
Xpot	0.023121325770931	0.118729889371739	1.38403403086096	2.06919692260789	7.51456307133826	77.8034884717577	9.84411802183278e-17	7.18756396532025e-14
Aldh18a1	-0.0252547384053983	0.396588464832014	1.56976476866231	1.63946447276379	6.80256093040382	76.4700812500558	1.28413232345369e-16	9.06340593893613e-14
Ddc	-0.0936053261041324	-0.21820825352885	-1.05409221822752	-2.51241063305869	6.45707007925601	74.9379663642187	1.75177170547974e-16	1.19651658360736e-13
Mthfd2	0.0339690706439216	0.727764167280988	1.76687609476195	1.47255153968005	6.58285274130291	74.5336137978079	1.90287348428575e-16	1.25910759863333e-13
Slc38a5	0.0413415489628371	-0.252763686922305	-0.934230196199301	-3.13227661761504	6.40896837263582	73.4232144667358	2.39484103095848e-16	1.53661709059136e-13
Elmsan1	0.175008660103507	0.312578294507499	1.43883526087386	2.05944212384893	6.702468238061	71.0661916862773	3.93810504411656e-16	2.39982342751487e-13
Slc24a3	-0.0114099260046408	-0.137975191242653	0.2177755909911	1.84591208685106	5.48488841146444	71.0347245987618	3.9668376293105e-16	2.39982342751487e-13
Phf10	-0.12903109780305	0.385884863375707	1.81037359165477	1.86680102518517	6.45292001405114	70.8424472633225	4.13204101097047e-16	2.43032878795246e-13
Slc7a1	0.132643585580714	0.628035610356984	1.98915713512347	2.10469274666583	7.83303373887294	70.2443816453302	4.69936511793091e-16	2.689306946137e-13
