Gene	Category_1	Description	
Psen1	Autophagy		
Atg12	Autophagy		
Atg13	Autophagy		
Atg14	Autophagy		
Atg16l1	Autophagy		
Atg16l2	Autophagy		
Atg2a	Autophagy		
Atg3	Autophagy		
Atg5	Autophagy		
Atg7	Autophagy		
Atp6ap2	Autophagy		
Becn1	Autophagy		
Calcoco2	Autophagy		
Epg5	Autophagy		
Lamp1	Autophagy		
Pik3c3	Autophagy		
Rb1cc1	Autophagy		
Sqstm1	Autophagy		
Ulk1	Autophagy		
Ulk2	Autophagy		
Uvrag	Autophagy		
Atp2a1	Beta cell Ca2+ and K+ ion handling	sarcoplasmic/endoplasmic reticulum calcium ATPase 1	
Atp2a3	Beta cell Ca2+ and K+ ion handling	sarcoplasmic/endoplasmic reticulum calcium ATPase 3	
Itpr1	Beta cell Ca2+ and K+ ion handling	"inositol 1,4,5-trisphosphate receptor type 1"	
Atp2a2	Beta cell Ca2+ and K+ ion handling	sarcoplasmic/endoplasmic reticulum calcium ATPase 2 	
Atp2b1	Beta cell Ca2+ and K+ ion handling	plasma membrane calcium-transporting ATPase 1	
Atp2b2	Beta cell Ca2+ and K+ ion handling	plasma membrane calcium-transporting ATPase 2 	
Atp2b3	Beta cell Ca2+ and K+ ion handling	plasma membrane calcium-transporting ATPase 3 	
Atp2b4	Beta cell Ca2+ and K+ ion handling	plasma membrane calcium-transporting ATPase 4 	
Atp2c1	Beta cell Ca2+ and K+ ion handling	calcium-transporting ATPase type 2C member 1 	
Cacna1c	Beta cell Ca2+ and K+ ion handling	Cav1.2 L-type caclium channel	
Itpr2	Beta cell Ca2+ and K+ ion handling	"inositol 1,4,5-trisphosphate receptor type 2"	
Itpr3	Beta cell Ca2+ and K+ ion handling	"inositol 1,4,5-trisphosphate receptor type 3"	
Letm1	Beta cell Ca2+ and K+ ion handling	mitochondrial proton/calcium exchanger protein 	
Mcoln1	Beta cell Ca2+ and K+ ion handling	mucolipin-1	
Mcoln2	Beta cell Ca2+ and K+ ion handling	mucolipin-2 	
Mcoln3	Beta cell Ca2+ and K+ ion handling	mucolipin-3	
Mcu	Beta cell Ca2+ and K+ ion handling	"calcium uniporter protein, mitochondrial "	
Mcub	Beta cell Ca2+ and K+ ion handling	"calcium uniporter regulatory subunit MCUb, mitochondrial"	
Micu1	Beta cell Ca2+ and K+ ion handling	"calcium uptake protein 1, mitochondrial "	
Micu2	Beta cell Ca2+ and K+ ion handling	"calcium uptake protein 2, mitochondrial"	
Micu3	Beta cell Ca2+ and K+ ion handling	"calcium uptake protein 3, mitochondrial"	
Orai1	Beta cell Ca2+ and K+ ion handling	calcium release-activated calcium channel protein 1	
Orai2	Beta cell Ca2+ and K+ ion handling	protein orai-2	
Orai3	Beta cell Ca2+ and K+ ion handling	protein orai-3	
Pkd2	Beta cell Ca2+ and K+ ion handling	polycystin-2	
Pkd2l1	Beta cell Ca2+ and K+ ion handling	polycystic kidney disease 2-like 1 protein	
Ryr1	Beta cell Ca2+ and K+ ion handling	ryanodine receptor 1	
Ryr2	Beta cell Ca2+ and K+ ion handling	ryanodine receptor 2	
Ryr3	Beta cell Ca2+ and K+ ion handling	ryanodine receptor 3	
Slc24a1	Beta cell Ca2+ and K+ ion handling	sodium/potassium/calcium exchanger 1	
Slc24a2	Beta cell Ca2+ and K+ ion handling	sodium/potassium/calcium exchanger 2 	
Slc24a3	Beta cell Ca2+ and K+ ion handling	sodium/potassium/calcium exchanger 3 	
Slc24a4	Beta cell Ca2+ and K+ ion handling	sodium/potassium/calcium exchanger 4 	
Slc24a5	Beta cell Ca2+ and K+ ion handling	sodium/potassium/calcium exchanger 5 	
Slc8a1	Beta cell Ca2+ and K+ ion handling	sodium/calcium exchanger 1 	
Slc8a2	Beta cell Ca2+ and K+ ion handling	sodium/calcium exchanger 2 	
Slc8a3	Beta cell Ca2+ and K+ ion handling	sodium/calcium exchanger 3	
Slc8b1	Beta cell Ca2+ and K+ ion handling	mitochondrial sodium/calcium exchanger protein 	
Smdt1	Beta cell Ca2+ and K+ ion handling	"essential MCU regulator, mitochondrial "	
Trpc1	Beta cell Ca2+ and K+ ion handling	short transient receptor potential channel 1 	
Trpc2	Beta cell Ca2+ and K+ ion handling	short transient receptor potential channel 2	
Trpc3	Beta cell Ca2+ and K+ ion handling	short transient receptor potential channel 3 	
Trpc4	Beta cell Ca2+ and K+ ion handling	short transient receptor potential channel 4 	
Trpc5	Beta cell Ca2+ and K+ ion handling	short transient receptor potential channel 5	
Trpc6	Beta cell Ca2+ and K+ ion handling	short transient receptor potential channel 6 	
Trpc7	Beta cell Ca2+ and K+ ion handling	short transient receptor potential channel 7 	
Trpv1	Beta cell Ca2+ and K+ ion handling	transient receptor potential cation channel subfamily V member 1	
Trpv2	Beta cell Ca2+ and K+ ion handling	transient receptor potential cation channel subfamily V member 2 	
Trpv3	Beta cell Ca2+ and K+ ion handling	transient receptor potential cation channel subfamily V member 3 	
Trpv4	Beta cell Ca2+ and K+ ion handling	transient receptor potential cation channel subfamily V member 4	
Trpv5	Beta cell Ca2+ and K+ ion handling	transient receptor potential cation channel subfamily V member 5	
Trpv6	Beta cell Ca2+ and K+ ion handling	transient receptor potential cation channel subfamily V member 6	
Ctnnb1	Beta cell TFs		
Foxa2	Beta cell TFs - CHI and MODY	"transcription factor; regulates KCNJ11, ABCC8, HADH"	
