,Baseline.0h_1,DMSO.1h_1,SW.1h_1,DMSO.2h_1,SW.2h_1,DMSO.6h_1,SW.6h_1,DMSO.24h_1,SW.24h_1,Baseline.0h_2,DMSO.1h_2,SW.1h_2,DMSO.2h_2,SW.2h_2,DMSO.6h_2,SW.6h_2,DMSO.24h_2,SW.24h_2,Baseline.0h_3,DMSO.1h_3,SW.1h_3,DMSO.2h_3,SW.2h_3,DMSO.6h_3,SW.6h_3,DMSO.24h_3,SW.24h_3
Xkr4,680,650,258,783,588,886,349,1227,1286,1021,1000,581,706,792,1071,1112,990,941,930,998,1188,784,978,1125,858,1088,1172
Rp1,2,9,43,22,24,0,18,0,1,0,0,6,0,17,1,1,0,2,0,0,0,0,0,0,1,0,11
Sox17,25,40,112,11,36,3,10,0,20,0,0,35,0,18,1,0,0,0,0,0,0,0,1,0,1,0,0
Mrpl15,911,802,250,731,768,1150,483,1441,1509,1080,1176,696,430,929,1308,1684,1362,1066,1138,984,1086,831,1066,1171,1409,1209,1303
Lypla1,2312,2055,831,2053,1907,3430,1243,3872,4756,3932,3419,1995,2633,2753,3820,4054,4075,3246,3434,3407,3325,2313,3405,3489,3319,3571,4484
Tcea1,3208,3335,1352,2995,3015,4886,2658,5661,6832,5087,4743,2927,3598,4114,5555,8553,5529,4169,4563,4600,4728,3592,5111,4981,6566,5180,6251
Rgs20,137,102,66,85,109,97,98,124,187,142,143,86,53,156,146,170,147,161,138,149,149,148,158,181,176,155,193
Atp6v1h,2075,2337,707,1986,1811,2988,1298,3533,4216,3208,2856,2022,2284,2604,3720,4159,3783,2542,2827,3074,3264,2450,3148,3213,3352,3205,3862
Oprk1,120,163,44,105,58,116,56,178,191,120,94,60,148,53,136,79,117,126,133,113,106,75,73,148,66,149,144
Npbwr1,17,4,26,27,16,0,15,0,11,0,1,16,0,22,4,7,5,3,0,2,3,0,3,0,6,1,8
Rb1cc1,2900,2933,1059,2682,2626,3710,1855,4886,4987,4008,4013,2641,2369,3480,4438,5344,4230,3189,3848,3870,3994,3241,4129,4441,3983,4518,4384
Fam150a,5,10,19,3,7,0,11,0,5,0,0,14,0,4,2,1,3,0,0,0,0,0,4,0,0,2,0
St18,7076,8382,2524,7425,10221,9811,4586,11970,10337,9593,9849,6641,7108,13753,10402,13870,9673,6637,9297,9263,10648,7792,14075,9879,9002,10342,8846
Pcmtd1,3356,3445,1052,2959,2914,4792,1770,5598,6327,4707,4496,2810,2695,3750,4865,5620,4762,4454,4622,4580,4662,3650,4759,4685,4467,5374,5612
Sntg1,1509,1474,566,1521,1408,1870,737,2371,2177,2594,2441,1558,1309,2205,2723,2711,2290,1613,2454,2101,2184,1656,2270,2376,2028,2317,2009
Rrs1,302,353,100,306,298,420,265,551,702,450,552,315,240,440,607,719,562,375,492,440,515,570,597,519,717,556,530
