"genes","logFC.time1h.treatTg","logFC.time2h.treatTg","logFC.time6h.treatTg","logFC.time24h.treatTg","logCPM","F","PValue","FDR"
"Tcea1",-0.0724599506105495,-0.0417256863578845,0.890121061363861,1.69348253904878,7.46719189527425,90.0631290104155,1.39244980844812e-17,1.47418661220402e-14
"Snhg6",-0.281060715888524,0.466398983164358,0.783091728820525,1.26950931485905,2.87781751444119,9.99759964116303,1.86905144102241e-05,0.000351156124331929
"Tmem14a",0.160472881251808,2.0765635310292,-0.72439287177212,-0.458747616414939,1.43825981903697,4.14679513149614,0.0075976930045163,0.0465334231654098
"Bend6",-0.0169989194653101,1.22744347418765,-0.59410432528665,-0.542908476348606,2.92876689722313,4.28234048592402,0.00652964352671357,0.0413193211451526
"Arid5a",0.615313241919186,0.697422332272867,1.35172342317215,1.86621541447623,4.52119957629937,18.1270269070062,4.7287159702932e-08,2.02683870354227e-06
"Lonrf2",0.0726514322024935,0.336516009776504,0.0965416033033874,1.00635507092654,3.72899087759805,8.6639109743452,6.24646284180473e-05,0.000956345655910147
"Npas2",0.0366066369103386,0.415195633407582,1.1998013447471,-0.158818259775872,2.88957608591132,7.00323565154111,0.000319063153392938,0.00372017797904299
"Cdk15",0.0768155267882713,-0.125989830396434,-0.295361601265314,-1.0528531356105,3.01572651753323,5.6324656020493,0.00137682587569431,0.0120566216261171
"Pard3b",0.187135755768152,-0.143091022051958,0.468834139132234,1.66263481176171,4.27794895201426,26.2915003613534,5.55638934547919e-10,4.61376423534025e-08
"Pecr",0.0501755863388637,0.181711199223578,-0.079886194014661,1.00633694628868,2.6757558716427,6.0660950943187,0.000857837480319119,0.00824131161900046
"Cryba2",-0.20750508157753,-0.26505239466523,-0.780033810790481,-1.19745996393147,5.26319197463775,20.5287948359434,1.12947858250301e-08,6.02407544229692e-07
"Cnppd1",-0.098182642511721,-0.130192914725721,0.722550299205951,1.36069733768031,5.31719048957229,18.3082736191023,4.22396086257339e-08,1.85172147627596e-06
"Abcb6",-0.0329365158836806,0.0704116734142822,0.152565057991172,1.09741053354331,4.75355149977455,13.2375899772784,1.33811822748796e-06,3.7962160274332e-05
"Resp18",0.0455089980229519,-0.127599845588224,-0.537135120055012,-1.07552659856213,7.59548097652718,20.9626696313128,8.82525077912013e-09,4.85365870122311e-07
"Tmem198",0.559731273143475,0.704895995548805,1.01453475063488,0.290062442615931,3.87122153237267,4.51586486699734,0.00493951092502404,0.0332223749897333
"Sgpp2",0.0831593982863984,-0.19685513168175,-0.464392774502053,-1.20326115426115,5.82771706655877,17.0020426320897,9.64794089404587e-08,3.77607209779163e-06
"Nyap2",-0.0117891572721324,0.188696542058631,-0.209155737357835,-1.34351513201544,3.50282990056999,5.50251136539886,0.0015898609914948,0.0134601026125193
"Rhbdd1",0.0561372841091412,0.187927708680106,1.00171021251704,1.47519504919179,5.57169136873342,39.2503559069063,2.77794807267659e-12,4.90168937423785e-10
"Ecel1",0.297744108935783,0.010342245035155,-0.854698434145778,-1.60508541066464,3.13607911307853,7.30205776009512,0.000235866247550136,0.00289352950499802
"Ugt1a9",0.00327901641898088,0.174362714764818,-0.29519067047502,-1.76361289001888,3.07694770607318,9.42603930060573,3.10647269310154e-05,0.000533899779251072
"Ugt1a6a",-0.385879150172337,-0.183787165235375,-0.410006594580873,1.84510549669284,2.06458442740844,8.17844803932653,0.000100705709014443,0.00142918410366744
"Col6a3",0.385418186643872,0.194620845310528,-0.900810420965837,-2.24456011388226,3.65184521662817,12.8849114859421,1.75594945746522e-06,4.76062404767843e-05
"Panct2",-0.328876548260344,0.384744677986316,0.951480808734032,1.15555456345185,2.36911637528157,5.79629997613357,0.00115322534705503,0.010453079408623
"Cntnap5b",-0.158139922714316,0.0239063229976527,-0.645175774745776,-2.11592867649556,3.21232869210627,7.79726691842285,0.000144026028620704,0.00192525702652449
"Dpp10",-0.0686030996224485,-0.448261776092453,-0.599528805366002,-1.85350496180629,6.46696864698206,32.5810261876617,3.45379905294138e-11,4.06281895261005e-09
"Map3k19",0.62654259688446,0.861050318865989,-0.17311250051504,-1.63592677468252,1.70837180434109,6.1364768001574,0.000800944383633905,0.00778659154227011
"Rassf5",0.0304616629024377,-0.0316930892648646,-0.614787242943377,-1.29655813025265,4.63959725902715,16.9628185270675,9.90171672274758e-08,3.86112246569903e-06
"Lrrn2",-0.036634920542497,-0.308247794989502,-1.67559792116144,-1.12458887916078,4.72986024344912,11.0879958387747,7.34190150751134e-06,0.000157985185487851
"Ppp1r15b",-0.115177897494236,0.180273022133711,0.300660807485081,1.13995039229881,8.00014502339144,28.7608062549339,1.76583151532721e-10,1.72407973585597e-08
"Atp2b4",0.0936869440741463,-0.0120814817743936,-0.562132010713597,-1.16991655278394,5.84235823679352,23.583185341874,2.14082894704605e-09,1.43407996346773e-07
"Cyb5r1",-0.0590419362983848,-0.0991879206996559,1.31910143537884,2.67606811881631,5.9677487508059,109.512216769296,6.65182437372476e-19,1.28041572081135e-15
"Syt2",-0.0868786024571366,0.017236930820195,-1.31296921370406,-1.07035610615145,5.36519634906971,13.9587810717078,7.8306580333361e-07,2.36191386321736e-05
"Kif21b",0.313318772620476,0.461014536184002,0.285932603868899,1.09476710044575,4.68162846935352,5.69239374271131,0.00128672776509313,0.0114235529132419
"Kcnt2",0.142974576929675,0.232507711796856,1.21340138316908,1.95964702177257,2.89925966255412,11.3216704399757,6.0946231612099e-06,0.000135411910614332
"B3galt2",0.0311051428667907,-0.27670745114939,-0.284127959265558,-1.28788693616089,4.50529842667738,12.9491130722087,1.66595513526308e-06,4.55748501732047e-05
"Ptgs2",1.09324543017811,1.41626989212265,2.45490591341565,3.62664859385403,1.87466658386797,7.45484201979897,0.000196571317930303,0.0024804535672564
"BC003331",-0.0635188571093964,-0.119197806621925,0.271060338662746,1.02412414558018,5.99080562472351,23.5775435674693,2.14698851619567e-09,1.43407996346773e-07
"Fam129a",0.149270027067637,-0.242554961693829,1.91757730650223,2.98545735430087,5.10153678715612,92.917884706106,8.62823273692539e-18,1.01496777762032e-14
"Colgalt2",0.0524354595448533,0.15916768035114,-0.92156200802722,-2.069488331996,5.17162154659248,27.1289285701814,3.73271198227821e-10,3.40674325486029e-08
"Cacna1e",1.12794198405702,2.86749228519629,1.77382144605814,-1.50399869564343,1.62033992441507,4.82472566698631,0.0034107408143998,0.0246304761565615
"Angptl1",0.0890188522525494,0.422534957288981,-0.634472077048419,-2.12631650045721,1.53460489250417,6.24124739171722,0.00070709124901829,0.0070323861468827
"Sec16b",-0.20342916332287,0.863564242235363,0.179185643641523,1.21348388522111,3.65910470244546,5.27680162385324,0.00204900894745554,0.0164589208852138
"4930523C07Rik",0.210929670106152,-0.295200425729271,-0.0622086867599102,-1.83702536888306,2.08697677808152,5.01339268287163,0.00278442984118444,0.0210359322866029
"Gas5",-0.663912045410779,-0.510777980430112,0.197611243586987,1.33055897151726,6.14475503560562,13.6345747982463,9.94051392984274e-07,2.91524157826164e-05
"Fmo2",0.479940104655767,1.5379242759344,0.171577998355683,-2.06982901423365,0.875779737163811,4.1969511192595,0.00701132624466357,0.0436162542911509
"Hsd17b7",0.129645676146141,0.317447897161204,0.785748816083958,1.19872205166085,5.31346448717166,20.1549151817649,1.40044519160848e-08,7.11103752688681e-07
"Ddr2",0.36663401203138,0.447050559551499,2.05483615001045,3.54017614916266,3.8548731355557,38.3232544812879,3.90459544931752e-12,6.61407232350794e-10
"Atf6",0.00478280157900011,0.0326816534433139,1.18505865434303,1.85792535762362,7.9429318732034,105.039565947673,1.27660299027416e-18,1.9307708368618e-15
"Igsf8",0.0588663514244127,-0.343894388736503,-0.480108962149735,-1.15775476964608,6.42958219062109,13.1262830655122,1.45507956971224e-06,4.08077547140224e-05
"Cadm3",0.402117844110132,0.04322603563902,0.0953498746727359,1.22781295709004,4.42948047486968,15.3404391610626,2.93394714958635e-07,1.00360899750148e-05
"Eprs",-0.0223190451775148,0.20271493209723,1.45858364279366,1.72407136256523,8.63327789254764,64.6280730150913,2.14073525983537e-15,9.64424008335194e-13
"Tgfb2",0.123826972976341,-0.459090922392394,-0.451902202834648,-1.35378427013729,3.62013501037592,5.81867631622569,0.00112030375749329,0.0102291124455209
"Rrp15",-0.0993316222955707,0.148597990085826,0.834223949341947,1.39770767858193,2.45660680224715,6.04764982324145,0.000876339258554162,0.00838482036178302
"Atf3",1.1270154193552,2.39127192937279,3.32728228653787,4.01105039536332,4.71142258391901,70.0981051215405,6.42083939113957e-16,3.67445549372944e-13
"Akap12",0.0932310818998103,-0.181871392807006,-0.31143184671012,1.00231050911046,3.20530984843702,8.23154911095403,9.42696312512514e-05,0.00134869268386081
"Esr1",0.510820725194113,0.0149946799174474,0.405422474859241,-1.76179283617595,2.27352056398242,7.44925586143281,0.000204556809709686,0.00257508079000767
"Sash1",0.367065564408093,0.809391373263156,0.409018171251026,1.06978125827278,3.76577904585686,4.24397630587691,0.00682817500753283,0.0427877412280261
"Grm1",0.0977134231962085,1.39176386503762,0.279807795047118,-1.35591515193341,1.97922876313384,4.4280487985584,0.00551910000425459,0.0362136422343002
"Pde7b",0.126742714208012,0.0851654996739151,0.472563167450125,-1.76504248339152,3.16939357390389,10.7065453704445,1.01564189913076e-05,0.000208182009411371
"Ahi1",-0.000185848721720139,0.0884959801839814,0.260673929566433,1.08492666288185,5.96846893175225,18.8710388490874,2.99393588581502e-08,1.39633476753848e-06
"Hbs1l",-0.157883058674155,0.104846944556689,0.745375223504196,1.15065120298919,6.59158292767656,24.1942391865551,1.56344536511927e-09,1.12218278511984e-07
"Arhgap18",-0.000731906986831418,-0.11326424556378,-0.578147066993292,-1.16244087452379,4.82839359430479,15.2537603299961,3.11451675975463e-07,1.05454228493376e-05
"Rsph4a",0.0668287105514135,1.22885598873321,1.04397788524251,3.38668137481556,0.946597697100409,9.05117961609617,3.93726307247297e-05,0.000652839532470968
"Fyn",0.00975388572997143,-0.388854093100693,0.687878881659945,1.31905305534076,5.6486756069701,36.5649631704216,7.33130182458561e-12,1.08357006559406e-09
"Scml4",0.189675317825082,0.289433460064225,-0.303898654797287,-1.40230396237311,3.8194596398435,17.1630780733774,8.71280803768699e-08,3.46377285872963e-06
"Rfx6",-0.191175044515851,-0.314930088653571,-1.01985711663585,-0.541515983572989,5.51760558611198,4.41553733975307,0.0055620323405426,0.0364164740988178
"Cdh23",0.325453453744377,0.286462292734366,0.167672024510372,-1.33391280497162,4.73240557920751,8.22969492018117,9.42562764172506e-05,0.00134869268386081
"Unc5b",0.230217800665819,0.631808668123798,1.35029947009398,2.00117365274074,4.78921746411013,22.1485295044954,4.58562475176188e-09,2.75840961630131e-07
"Rtkn2",0.107121432041194,0.178234312477567,-0.139196163101208,-1.00742202158109,5.23279943921345,9.76783411495251,2.27983021659242e-05,0.000414717568781167
"Rhobtb1",-0.0602166240844262,-0.0356336388475353,-0.493190206055551,-1.35014478558578,6.66323282621392,33.8689635564191,2.05994127712861e-11,2.56571744717184e-09
"Pcdh15",0.112206980322933,0.0693952179307652,0.0913822995360584,-1.5544909212463,5.25233411383787,22.4173065664978,3.96391020935498e-09,2.44699226743097e-07
"Derl3",0.123804047801608,0.128858295822787,0.46572727469661,1.31437220473714,3.98385027357347,11.1805486379425,6.80071100206521e-06,0.000147994095331684
"Chchd10",0.0694458381056626,0.000526681813846504,-0.423412511952667,1.41652844653915,5.98598529489659,60.8886118436709,5.18659871194145e-15,2.28793835680517e-12
"Lss",0.0381618411807914,0.839460853577618,1.03431981986344,1.35900610466386,6.16206098554444,32.1724948272751,4.08283361674272e-11,4.6729685946438e-09
"Ube2g2",-0.118900302559797,0.374922009833564,0.70034421055073,1.38580424220418,5.05748334854628,26.4083370500107,5.24825259051436e-10,4.42735061161558e-08
"Pwp2",0.0268481275026831,0.116977562571742,0.61682104863701,1.03137511505833,4.48653106664691,12.010065692731,3.46550267178209e-06,8.46350098873287e-05
"Lppr3",0.226805690389994,0.193495667706524,0.231358435986785,-1.67322034352536,2.52392804781175,5.93245704023075,0.000993777822941955,0.00928198130700174
"Efna2",0.141682842892585,-0.199992768108786,-0.682025887385661,-1.02531231558537,3.11073163892343,5.11402272456167,0.00246735916970752,0.0190671033063456
"Plk5",0.200351223663726,0.396161823647849,-0.136606484525773,-1.16524994030243,3.16642127513169,6.68942623053899,0.000441376009320726,0.00482981685858245
"Gadd45b",0.416770923583951,0.440717980968469,1.05204120823104,1.5723112224561,2.53554053859621,6.18280688101852,0.0007572682727131,0.00745266234187353
"Aldh1l2",0.00806063655248002,0.288089973952246,2.05050840676525,2.89720079876106,7.33658954359423,113.99636177093,3.53883624701316e-19,8.32570207713963e-16
"1500009L16Rik",0.0893585932020975,-0.0879660088487401,-0.558595959408214,-1.10681147738932,4.70392507054484,14.7784968326668,4.34432073712688e-07,1.40437629447213e-05
"Tcp11l2",-0.142647125257979,0.141242873096619,1.20340953982157,0.185208612312447,2.72344936092438,5.415024671061,0.00175586405112769,0.014557034228104
"Bpifc",1.02799544125024,1.8013664173845,0.677440167929923,5.11850656001152,1.25791744571876,11.8133205799153,2.62662919036402e-06,6.68457434173217e-05
"Utp20",-0.0798028133278581,0.16557728248759,0.692094649278972,1.27660302789364,6.02832635678601,19.1229608044165,2.57226111949557e-08,1.22393386391459e-06
"Amdhd1",0.239694490169182,-0.309210392940727,0.319227118992171,-1.75558545054028,2.42281586487887,4.85748695311351,0.00332493159729147,0.0241599525192346
