genes	logFC.time1h.treatSW	logFC.time2h.treatSW	logFC.time6h.treatSW	logFC.time24h.treatSW	logCPM	F	PValue	FDR
Fosl2	1.73332451653726	2.0192381271134	0.147854679467186	-0.530348015794579	7.32855247323143	79.5872137580124	8.18354732690377e-16	1.58130684997761e-11
Aldh1l2	-0.196946502943911	0.619814679195867	1.87010531103618	1.6002396173176	6.90561100735705	64.0076135184971	1.66891590006021e-14	1.61242309684317e-10
Herpud1	0.465457334839582	2.10803157809057	1.83107229376299	0.804513566020139	7.1772012661871	59.5429159063516	4.46773563523673e-14	2.87766852265598e-10
Fosb	3.57479011253353	3.23530311208123	1.18381260835984	-0.367705614988866	5.23159274599241	55.757851109527	1.0917478512326e-13	5.27396093234187e-10
Asns	0.0477709431536957	0.761478774263825	1.69006682315209	0.534509043758009	7.65799397944189	51.7948863053046	2.90933333762808e-13	9.21192188072894e-10
Junb	2.58198929046036	1.53134260332992	-0.0737144767295402	0.0094856311937863	5.26358443544672	51.4378284853456	3.19625563142198e-13	9.21192188072894e-10
Creld2	0.0512944326968763	1.09693566167048	2.11486796932165	1.00970407767331	6.56803456228178	51.2649907291352	3.33713466672373e-13	9.21192188072894e-10
Eif4ebp1	-0.215577181726139	1.50070238306897	2.62713363031699	1.28056984494078	4.01403238447556	48.2427601773759	7.56310568903414e-13	1.82677364036508e-09
Pdia4	-0.0131275059716786	0.753318678563802	1.92324402396828	1.00626637883971	8.53954465058702	46.8565476553455	1.09436710719246e-12	2.29748356161717e-09
Nr4a3	2.7262416889294	3.2972426583567	0.243749899773118	-1.60425705380614	5.98814070573147	46.2969911543979	1.28866371626437e-12	2.29748356161717e-09
Sel1l	-0.0951174210129473	0.565808870487013	1.31849852669067	0.494684138746314	8.2179099295624	46.2238907072047	1.30788796655741e-12	2.29748356161717e-09
Dusp4	0.840926850831569	1.84562153582869	1.48329209134526	-0.168918018382026	6.38687683622177	45.3063093628698	1.70058455567003e-12	2.73836628076767e-09
Btg2	1.70227512394579	0.315444846866208	-0.327853683042835	-0.0817322152582528	6.41769379065312	44.1279683794457	2.39731407188441e-12	3.31039162095273e-09
Kcnh1	-0.00893280792838393	0.253204965488446	1.29154123348895	0.364398179764297	5.80469015518591	44.0741286217102	2.43612493537182e-12	3.31039162095273e-09
Shmt2	-0.0366932004073559	0.779077843421654	1.79895237158874	0.498674512045352	6.36039007924637	43.892789114429	2.56978079564721e-12	3.31039162095273e-09
Chac1	1.03906934645279	3.53439391088604	2.43476201750966	0.90157556932393	5.28015108653136	43.4620068469021	2.9276530022931e-12	3.53568993520685e-09
Hyou1	-0.0282595327143229	0.503383690657663	1.44815145783615	0.910991335923211	10.2869210139339	40.0675109801914	8.3250578235906e-12	9.32999508176958e-09
Hspa5	0.0923388604067645	1.05039709142121	1.81487938611615	0.709714743209773	10.9810163570657	39.9329290210089	8.69119243760558e-12	9.32999508176958e-09
Psat1	-0.0574654189869393	0.735963388361835	1.57286557001802	0.453670905326775	7.68635820687085	39.210330646507	1.09737485931168e-11	1.11603023191998e-08
Nars	0.0967847234410981	0.688481078010641	1.3516690098504	0.36857906797907	7.26324449707261	38.9280913593813	1.20319875615528e-11	1.16247047825942e-08
Eprs	0.0745571569088492	0.695333954232284	1.3029325747459	0.310116213838725	8.41956982997176	38.6854360903244	1.30277192482049e-11	1.19873628110982e-08
Aars	-0.00422967692158823	0.562892330579475	1.11170780340998	0.328270001051857	8.04722667545354	37.6846781879438	1.81673777325174e-11	1.59567381784288e-08
Ppargc1a	0.290144876932084	1.50473291662695	0.796291615615199	-0.125159596826588	5.52814540832391	37.3483434342892	2.03616600233376e-11	1.71064502883022e-08
Nfil3	1.33199856699295	2.1436044850173	1.36498594494419	-0.46667694569496	4.70122119866096	36.6387972546292	2.59769096214942e-11	2.09146593590055e-08
Egr1	2.23880709010682	0.955835628103135	-0.89998370133389	-1.28182311068919	7.76179275880089	36.2182723769488	2.9970360038709e-11	2.28625599273713e-08
Sdf2l1	-0.00077181087642134	0.922753124191567	1.70622554129542	1.24576238595633	6.58629844695257	36.1437738527506	3.07626433841357e-11	2.28625599273713e-08
Homer1	0.374721632441104	1.3424207706187	-0.0270256325817893	-0.196064936375426	5.6906926466347	35.9160052951787	3.33101651157715e-11	2.37958783026078e-08
Xpot	-0.0420586578629664	0.417874669064003	1.28671623229078	0.720857010027935	7.22284808818566	35.8049143144123	3.46154889494081e-11	2.37958783026078e-08
Gucy2c	-0.11662828025036	0.135513623725083	0.969676490498468	-0.225531821299756	7.46722296437288	35.7157203504715	3.57129053861009e-11	2.37958783026078e-08
Nr4a1	2.13192345762743	2.84785780373916	0.243691522604033	-1.69956109052326	8.25305677542637	35.3584603564259	4.05075712454774e-11	2.6090926639212e-08
