genes	logFC.time1h.treatTg	logFC.time2h.treatTg	logFC.time6h.treatTg	logFC.time24h.treatTg	logCPM	F	PValue	FDR
Ppp1r15a	0.440532104483262	1.20978944288463	2.53812729253749	3.65797486705029	5.74723727454595	150.24756174727	4.42490096434749e-21	9.36928530190937e-17
Npy	-0.0139096378567219	-0.205772376250466	-1.05686473502566	-3.14152712638941	8.62210648817173	142.454379055229	1.03418046399569e-20	1.09488685723224e-16
Lcp2	-0.182169609789275	-0.517378478902959	-1.76114562170986	-3.76634184526986	4.97702604117435	138.577639304264	1.62897545094283e-20	1.14973087327545e-16
Abcc4	0.171774395816406	0.172230413484137	-0.167238850686929	2.6747432871658	5.51408180729719	128.49936977962	5.3450277050768e-20	2.8293904156824e-16
Trib3	0.525081834475081	1.94632924404158	3.61200365786185	4.32952591149796	6.08480004884994	126.325324053516	7.01919431789173e-20	2.97248840974079e-16
Ttr	0.0888283163611179	-0.13154951491408	-1.22749220975919	-2.34024019140238	8.14694488329525	121.635505740852	1.2723320997945e-19	4.49005998017478e-16
Chac1	0.813203890841765	3.32169965122658	3.91664745652845	3.42362900715333	5.95151654440638	120.329029913694	1.51445011043221e-19	4.58099523404166e-16
Slc1a4	0.261789514936937	0.776574838826843	2.48684584052373	2.26353614207179	5.87035930646042	116.100488525152	2.65596670252951e-19	7.02967986991998e-16
Aldh1l2	0.00806063655248002	0.288089973952246	2.05050840676525	2.89720079876106	7.33658954359423	113.99636177093	3.53883624701316e-19	8.32570207713963e-16
Hmox1	0.210709561007861	0.0476472875777467	1.07282141876915	2.6999271089551	5.4902314455448	112.337811850835	4.4625786840629e-19	9.44906410563478e-16
Cyb5r1	-0.0590419362983848	-0.0991879206996559	1.31910143537884	2.67606811881631	5.9677487508059	109.512216769296	6.65182437372476e-19	1.28041572081135e-15
Lhfpl2	0.436859721448788	0.222240017907431	1.52348011813366	4.07482228531799	4.89632794727742	107.651742926136	8.77703946041409e-19	1.54870861279007e-15
Shmt2	0.146508790429808	0.581175626025767	2.42438243963487	2.1072100495431	6.81829162772349	105.352086529788	1.21923013011919e-18	1.9307708368618e-15
Atf6	0.00478280157900011	0.0326816534433139	1.18505865434303	1.85792535762362	7.9429318732034	105.039565947673	1.27660299027416e-18	1.9307708368618e-15
Hspa9	-0.0670624534575045	0.148850127675839	1.46443819785614	1.95108074183179	8.88698867702665	96.5097840741142	4.77600583124226e-18	6.74180983138158e-15
Sqstm1	0.0585874403978896	0.150063698880641	1.04778492005984	2.02802108485536	9.17668100395724	95.0118421294385	6.08773927176299e-18	8.05636195876935e-15
Naaa	-0.0911108074048971	-0.0770795635625447	0.517919816411692	2.84410447152962	4.95719173392571	94.3554046151957	6.8026460506226e-18	8.47289573387546e-15
Fam129a	0.149270027067637	-0.242554961693829	1.91757730650223	2.98545735430087	5.10153678715612	92.917884706106	8.62823273692539e-18	1.01496777762032e-14
Gpd2	-0.024720664694402	-0.0847243967763514	-0.842639742252957	-1.98948389149289	8.68396123764258	90.3879515017223	1.31712107464343e-17	1.46782745444737e-14
Tcea1	-0.0724599506105495	-0.0417256863578845	0.890121061363861	1.69348253904878	7.46719189527425	90.0631290104155	1.39244980844812e-17	1.47418661220402e-14
Sesn2	0.156602224572749	1.33241204882248	2.14583793122817	2.36762569985566	6.53986847157717	87.6893250829165	2.10252957459167e-17	2.119950533924e-14
Arhgef2	0.0234269725202896	0.0992316348280262	1.16284329426536	2.57989454539778	6.76599313820089	84.143757433314	3.96325518508039e-17	3.81445296767692e-14
Eif4ebp1	0.00797430152420747	1.1461617448168	3.06475300459551	2.76610965431979	4.46014377277172	83.6682638924241	4.36104208560894e-17	4.01481326611668e-14
Gcg	-0.00620254675045376	-0.168344417244004	-0.760652899738342	-2.16702586281584	7.96018303215413	79.5414859118708	9.36153119076034e-17	7.98665806638776e-14
Ins2	0.0443250002007508	-0.0842819868304483	-1.06474144298287	-2.03940548336511	13.2265763908924	79.503282080485	9.4297936931942e-17	7.98665806638776e-14
Asns	0.0699338445933136	0.484297069206321	1.8259554156378	1.55651434696988	7.84004391751865	78.4605488261976	1.15309758476145e-16	9.25318948045214e-14
Nars	-0.0628716674517827	0.542374132092102	1.88295056020275	2.10445148555318	7.66458380063765	78.3421894484773	1.17991931601118e-16	9.25318948045214e-14
Slc7a2	0.0185054501304202	-0.109238018349619	-0.644788530412104	-1.77873112047703	9.32765371181029	77.8803679673273	1.29092846682133e-16	9.76218548445532e-14
Slc38a5	0.0365542827062208	-0.253050064230682	-0.936910458542458	-3.13355429604348	6.40896837263582	76.6996889323205	1.62961427119285e-16	1.18984319235302e-13
Ins1	-0.0706361745017165	-0.16947035968551	-1.22597948002665	-2.92824190305896	11.4076434497848	76.4238600583627	1.71988453381863e-16	1.21389450396919e-13
Xpot	0.0149093010855977	0.117791943329408	1.37806598349898	2.06909613589459	7.51456307133826	74.6027929991917	2.47935553099075e-16	1.69347980687736e-13
Rab39b	0.0467058461486132	0.414796061027979	1.4814789428922	1.97420096470654	6.62888622376071	74.369053971277	2.6008164808704e-16	1.72092775518593e-13
Ddc	-0.0957881055383445	-0.216442992603001	-1.05347794942806	-2.5133691438126	6.45707007925601	73.5896911261978	3.05042123202843e-16	1.95726118687788e-13
Aldh18a1	-0.0287033413270938	0.395731838788653	1.56403184949116	1.6394187801624	6.80256093040382	72.2305892256639	4.04165057475721e-16	2.51699733146792e-13
Atf4	0.7058261077718	1.50898202994474	1.88450199092909	2.16108325684091	8.35796112765498	71.7555288441143	4.463423521437e-16	2.70024370408306e-13
Ptprg	0.0401840244425381	-0.200991751806179	0.172831278460844	2.13712663969524	6.49505927522098	71.0149979568017	5.22093149828392e-16	3.07077787624066e-13
Atf3	1.1270154193552	2.39127192937279	3.32728228653787	4.01105039536332	4.71142258391901	70.0981051215405	6.42083939113957e-16	3.67445549372944e-13
Slc7a1	0.126887083803558	0.627401631408582	1.98445256020791	2.10498965519096	7.83303373887294	69.6222102273207	7.03026068574835e-16	3.91733525684304e-13
Mthfd2	0.0267842382039455	0.729269861079576	1.76289363728217	1.47273894905129	6.58285274130291	69.4373129572249	7.31929399660173e-16	3.97381361753962e-13
Stbd1	0.375356277269295	0.203878027491691	2.55363488976357	3.76153242307017	4.30269787798665	66.8760842113214	1.30363934358341e-15	6.79659596889965e-13
Elmsan1	0.168065703064195	0.311708675806776	1.43295752392402	2.05917194465954	6.702468238061	66.7658348197332	1.31769442793689e-15	6.79659596889965e-13
